station_id,timestamp,session_id,voltage,current,power_kw,temperature_c,duration_sec,energy_kwh,error_code,message
STATION_8,2024-01-01 00:05:42,c2b7363e06d4,229.04,27.75,6.394,37.32,59,0.1048,0,OK
STATION_8,2024-01-01 00:05:44,c2b7363e06d4,227.89,27.09,6.06,33.31,46,0.0774,0,OK
STATION_8,2024-01-01 00:05:46,c2b7363e06d4,228.11,26.36,6.024,32.84,22,0.0368,0,OK
STATION_8,2024-01-01 00:05:50,c2b7363e06d4,222.83,27.57,6.191,34.84,2,0.0034,0,OK
STATION_8,2024-01-01 00:05:51,c2b7363e06d4,230.27,28.71,6.533,36.16,33,0.0599,0,OK
STATION_8,2024-01-01 00:05:52,c2b7363e06d4,227.51,27.34,6.299,36.57,33,0.0577,0,OK
STATION_8,2024-01-01 00:05:54,c2b7363e06d4,221.53,29.72,6.614,31.82,1,0.0018,0,OK
STATION_8,2024-01-01 00:05:54,c2b7363e06d4,225.77,28.3,6.422,37.79,18,0.0321,0,OK
STATION_8,2024-01-01 00:05:57,c2b7363e06d4,220.9,25.77,5.655,36.02,27,0.0424,0,OK
STATION_8,2024-01-01 00:06:01,c2b7363e06d4,224.63,28.29,6.384,35.84,49,0.0869,0,OK
STATION_8,2024-01-01 00:06:05,c2b7363e06d4,227.84,24.4,5.552,36.44,36,0.0555,0,OK
STATION_8,2024-01-01 00:06:06,c2b7363e06d4,227.29,29.43,6.723,35.65,42,0.0784,0,OK
STATION_8,2024-01-01 00:06:08,c2b7363e06d4,221.23,28.92,6.372,34.19,45,0.0797,0,OK
STATION_8,2024-01-01 00:06:09,c2b7363e06d4,227.28,30.44,6.858,33.86,19,0.0362,0,OK
STATION_8,2024-01-01 00:06:17,c2b7363e06d4,227.9,28.93,6.689,36.22,48,0.0892,0,OK
STATION_8,2024-01-01 00:06:18,c2b7363e06d4,226.85,26.48,6.228,36.64,24,0.0415,0,OK
STATION_8,2024-01-01 00:06:24,c2b7363e06d4,226.22,28,6.344,34.1,1,0.0018,0,OK
STATION_8,2024-01-01 00:06:25,c2b7363e06d4,227.72,24.79,5.642,37.71,26,0.0407,0,OK
STATION_8,2024-01-01 00:06:37,c2b7363e06d4,226.62,26.29,6.029,38.04,42,0.0703,0,OK
STATION_8,2024-01-01 00:06:54,c2b7363e06d4,226.63,26.03,5.898,34.82,2,0.0033,0,OK
STATION_8,2024-01-01 00:06:57,c2b7363e06d4,220.6,30.26,6.611,38.82,56,0.1028,0,OK
STATION_8,2024-01-01 00:07:00,c2b7363e06d4,227.02,27,6.069,34.44,54,0.091,0,OK
STATION_8,2024-01-01 00:07:02,c2b7363e06d4,227.62,28.26,6.436,37.01,3,0.0054,0,OK
STATION_8,2024-01-01 00:07:06,c2b7363e06d4,123.3,27.39,6.051,39.2,20,0.0336,0,OK
STATION_8,2024-01-01 00:07:12,c2b7363e06d4,228.08,26.22,5.815,37.38,5,0.0081,0,OK
STATION_8,2024-01-01 00:07:15,c2b7363e06d4,228.87,29.18,6.648,36.59,2,0.0037,0,OK
STATION_8,2024-01-01 00:07:22,c2b7363e06d4,218.21,28.35,6.245,34.67,8,0.0139,0,OK
STATION_8,2024-01-01 00:07:27,c2b7363e06d4,228.11,28.93,6.705,34.53,18,0.0335,0,OK
STATION_8,2024-01-01 00:07:34,c2b7363e06d4,220.07,28.21,6.27,38.3,46,0.0801,0,OK
STATION_8,2024-01-01 00:07:39,c2b7363e06d4,226.91,28.72,6.465,37.45,23,0.0413,0,OK
STATION_8,2024-01-01 00:07:41,c2b7363e06d4,228.15,30.59,6.976,36.15,10,0.0194,0,OK
STATION_8,2024-01-01 00:07:42,c2b7363e06d4,221.89,27.3,6.001,35.41,18,0.03,0,OK
STATION_8,2024-01-01 00:07:42,c2b7363e06d4,232.12,26.95,6.292,36.57,21,0.0367,0,OK
STATION_8,2024-01-01 00:07:54,c2b7363e06d4,220.94,29.62,6.588,36.32,33,0.0604,0,OK
STATION_8,2024-01-01 00:08:22,c2b7363e06d4,230.18,26.97,6.193,33.23,3,0.0052,0,OK
STATION_8,2024-01-01 00:08:30,c2b7363e06d4,227.5,30.64,6.943,33.25,21,0.0405,0,OK
STATION_8,2024-01-01 00:08:46,c2b7363e06d4,223.59,29.83,6.627,29.07,49,0.0902,0,OK
STATION_8,2024-01-01 00:09:05,c2b7363e06d4,230.96,29.93,6.897,34.72,41,0.0785,0,OK
STATION_8,2024-01-01 00:09:18,c2b7363e06d4,224.57,25.29,5.623,35.46,3,0.0047,0,OK
STATION_8,2024-01-01 00:09:26,c2b7363e06d4,228.85,28.32,6.416,36.31,38,0.0677,0,OK
STATION_8,2024-01-01 00:09:37,c2b7363e06d4,226.25,27.88,6.336,34.59,3,0.0053,0,OK
STATION_8,2024-01-01 00:09:57,c2b7363e06d4,224.86,26.12,5.773,33.09,4,0.0064,0,OK
STATION_8,2024-01-01 00:10:02,c2b7363e06d4,222.68,28.06,6.374,35.58,46,0.0815,0,OK
STATION_8,2024-01-01 00:10:06,c2b7363e06d4,226.51,23.91,5.297,34.72,25,0.0368,0,OK
STATION_8,2024-01-01 00:10:06,c2b7363e06d4,229.27,28.53,6.547,36.91,52,0.0946,0,OK
STATION_8,2024-01-01 00:10:08,c2b7363e06d4,228.62,28.71,6.436,32.4,31,0.0554,0,OK
STATION_8,2024-01-01 00:10:38,c2b7363e06d4,227.08,26.8,6.15,38.29,38,0.0649,0,OK
STATION_8,2024-01-01 00:11:18,c2b7363e06d4,228.19,28.87,6.697,33.2,25,0.0465,0,OK
STATION_8,2024-01-01 00:11:18,c2b7363e06d4,230.03,24.67,5.802,34.58,3,0.0048,0,OK
STATION_8,2024-01-01 00:11:22,c2b7363e06d4,227.17,24.81,5.544,35.7,55,0.0847,0,OK
STATION_8,2024-01-01 00:12:27,c2b7363e06d4,229.37,27.09,6.187,34.61,55,0.0945,0,OK
STATION_8,2024-01-01 00:12:32,c2b7363e06d4,225.39,26.21,5.805,33.77,25,0.0403,0,OK
STATION_8,2024-01-01 00:13:39,c2b7363e06d4,228.58,26.57,6.054,34.02,3,0.005,0,OK
STATION_8,2024-01-01 00:13:52,c2b7363e06d4,225.24,24.17,5.417,37.76,2,0.003,0,OK
STATION_12,2024-01-01 02:42:33,0749ce671f2c,223.05,33.75,7.502,45.58,6,0.0125,0,OK
STATION_12,2024-01-01 02:42:35,0749ce671f2c,223.17,30.11,6.764,43.95,14,0.0263,0,OK
STATION_12,2024-01-01 02:42:43,0749ce671f2c,220.73,33.96,7.495,42.02,20,0.0416,0,OK
STATION_12,2024-01-01 02:42:46,0749ce671f2c,223.13,30.45,6.802,45.57,16,0.0302,0,OK
STATION_12,2024-01-01 02:42:57,0749ce671f2c,221.5,32.71,7.317,49.67,46,0.0935,0,OK
STATION_12,2024-01-01 02:43:07,0749ce671f2c,222.74,29.67,6.698,48.16,49,0.0912,0,OK
STATION_12,2024-01-01 02:43:13,0749ce671f2c,223.38,31.78,7.218,47.74,31,0.0622,0,OK
STATION_12,2024-01-01 02:43:13,0749ce671f2c,219.14,31.23,6.817,43.72,30,0.0568,0,OK
STATION_12,2024-01-01 02:43:15,0749ce671f2c,222.45,30.86,6.744,46.28,48,0.0899,0,OK
STATION_12,2024-01-01 02:43:18,0749ce671f2c,222.32,30.35,6.686,45.06,10,0.0186,0,OK
STATION_12,2024-01-01 02:43:27,0749ce671f2c,221.03,34.41,7.672,45.25,35,0.0746,0,OK
STATION_12,2024-01-01 02:43:33,0749ce671f2c,221.34,32.97,7.292,48.34,12,0.0243,0,OK
STATION_12,2024-01-01 02:43:43,0749ce671f2c,228.11,28.15,6.401,49.27,43,0.0765,0,OK
STATION_12,2024-01-01 02:43:43,0749ce671f2c,225.82,29.86,6.745,45.65,13,0.0244,0,OK
STATION_12,2024-01-01 02:43:48,0749ce671f2c,225,29.11,6.633,49.3,22,0.0405,0,OK
STATION_12,2024-01-01 02:43:53,0749ce671f2c,226.05,30.02,6.803,48.79,27,0.051,0,OK
STATION_12,2024-01-01 02:43:57,0749ce671f2c,222.66,32.15,7.245,45.96,10,0.0201,0,OK
STATION_12,2024-01-01 02:44:12,0749ce671f2c,219.85,34.56,7.538,49.21,29,0.0607,0,OK
STATION_12,2024-01-01 02:44:17,0749ce671f2c,227.2,32.18,7.183,48.25,51,0.1018,0,OK
STATION_12,2024-01-01 02:44:18,0749ce671f2c,219.22,31.38,6.91,50.67,20,0.0384,0,OK
STATION_12,2024-01-01 02:44:21,0749ce671f2c,221.5,30.09,6.535,45.73,8,0.0145,0,OK
STATION_12,2024-01-01 02:44:27,0749ce671f2c,223.8,30.24,6.799,44.05,40,0.0755,0,OK
STATION_12,2024-01-01 02:44:28,0749ce671f2c,224.87,26.58,6.019,48.22,56,0.0936,0,OK
STATION_12,2024-01-01 02:44:33,0749ce671f2c,222.98,30.99,6.877,44.69,58,0.1108,0,OK
STATION_12,2024-01-01 02:45:07,0749ce671f2c,226.99,31.31,7.182,48,21,0.0419,0,OK
STATION_12,2024-01-01 02:45:13,0749ce671f2c,218.65,31.99,7.037,47.37,4,0.0078,0,OK
STATION_12,2024-01-01 02:45:15,0749ce671f2c,223.97,34.26,7.761,47.27,50,0.1078,0,OK
STATION_12,2024-01-01 02:45:21,0749ce671f2c,221.47,34.23,7.524,45.46,32,0.0669,0,OK
